Attribute,Attribute Type,Justification
O_CITY,Nominal,"The origin city is a distinct place label, so only equality comparisons apply and no order or numerical distance exists."
O_STATE,Nominal,"State names distinguish one origin region from another but carry no measurement order, so only equality and inequality are meaningful."
D_CITY,Nominal,"The destination city is a distinct place label with no inherent ranking, and differences between city names cannot be measured."
D_STATE,Nominal,"Destination states are distinct regional categories, and no state sits at a measurable interval above or below another."
SCHEDULED_DEPARTURE,Interval,"This is a clock point, so times can be ordered and gaps between them compared, but midnight is a conventional origin."
DEPARTURE_TIME,Interval,"The actual departure clock time can be ordered and differences between two times are meaningful, yet the zero point is conventional."
DEPARTURE_DELAY,Interval,"Delay is a signed offset in minutes from the schedule, where zero means on time rather than an absence of quantity."
TAXI_OUT,Ratio,"This is a duration in minutes where zero means no time elapsed taxiing, so differences and ratios are both meaningful."
WHEELS_OFF,Interval,"The moment the wheels leave the ground is a point on the clock, so differences are meaningful but ratios are not."
SCHEDULED_TIME,Ratio,"The planned trip length is a duration with a true zero, so one flight can be meaningfully twice as long as another."
ELAPSED_TIME,Ratio,"Total elapsed time measures an amount of time with a genuine zero, which allows meaningful differences and ratio comparisons."
AIR_TIME,Ratio,"Time airborne is a measured duration where zero represents no time in the air, so ratio statements are meaningful."
DISTANCE,Ratio,"Distance has a true zero at no separation and equal units, so one route can be meaningfully twice as far as another."
WHEELS_ON,Interval,"Touchdown is recorded as a clock point, so intervals between events are meaningful while a doubled clock value has no interpretation."
TAXI_IN,Ratio,"The taxi-in duration counts minutes from a genuine zero, so both differences and ratio comparisons between flights are meaningful."
SCHEDULED_ARRIVAL,Interval,"The planned arrival clock time is ordered with meaningful gaps between times, but it has no true zero for arrival."
ARRIVAL_TIME,Interval,"The actual arrival clock time supports ordering and meaningful differences, although the origin of the clock is set by convention."
ARRIVAL_DELAY,Interval,"Arrival delay is a signed deviation from schedule and includes negative values for early arrivals, so ratio comparisons are not meaningful."
DIVERTED,Nominal,"The codes 0 and 1 label two flight outcomes rather than measuring an amount, so only distinctness is meaningful."
CANCELLED,Nominal,"The value 1 marks a cancelled flight and 0 a flight that operated, so the digits act purely as category labels."
AIR_SYSTEM_DELAY,Ratio,"When recorded, this is an amount of delay caused by the air system, and zero minutes is a meaningful absence of it."
SECURITY_DELAY,Ratio,"When recorded, this measures minutes of delay attributed to security, with zero representing no such delay contribution."
WEATHER_DELAY,Ratio,"When recorded, this measures minutes of delay attributed to weather, and zero marks a true absence of weather delay."
DATE,Interval,"Calendar dates can be ordered and differences in days are meaningful, but the start of the calendar is a convention."
AIRLINE_NAME,Nominal,"Each airline name identifies a distinct carrier, and airlines cannot be placed in a measurement order or spaced by intervals."
